Time,Temperature [C],Wind Speed [m/s],Wind Direction [deg],Precipitation [mm],URL
2025-01-19 05:47:00+00:00,-0.3,2.2777777777777777,327.0,0.0,2025-01-19-0547-CWTA-AUTO-minute-swob.xml
2025-01-19 05:48:00+00:00,-0.3,3.2222222222222223,328.0,0.0,2025-01-19-0548-CWTA-AUTO-minute-swob.xml
2025-01-19 05:49:00+00:00,-0.3,2.555555555555556,332.0,-3.7,2025-01-19-0549-CWTA-AUTO-minute-swob.xml
2025-01-19 05:50:00+00:00,-0.3,1.805555555555556,349.0,0.0,2025-01-19-0550-CWTA-AUTO-minute-swob.xml
2025-01-19 05:51:00+00:00,-0.4,2.0,325.0,0.0,2025-01-19-0551-CWTA-AUTO-minute-swob.xml
2025-01-19 05:52:00+00:00,-0.4,2.7777777777777777,348.0,0.0,2025-01-19-0552-CWTA-AUTO-minute-swob.xml
2025-01-19 05:53:00+00:00,-0.4,1.5833333333333337,339.0,0.0,2025-01-19-0553-CWTA-AUTO-minute-swob.xml
2025-01-19 05:54:00+00:00,-0.4,2.111111111111111,341.0,0.0,2025-01-19-0554-CWTA-AUTO-minute-swob.xml
2025-01-19 05:55:00+00:00,-0.4,1.2222222222222223,341.0,-3.4,2025-01-19-0555-CWTA-AUTO-minute-swob.xml
2025-01-19 05:56:00+00:00,-0.4,1.2222222222222223,334.0,0.0,2025-01-19-0556-CWTA-AUTO-minute-swob.xml
2025-01-19 05:57:00+00:00,-0.4,1.527777777777778,348.0,0.0,2025-01-19-0557-CWTA-AUTO-minute-swob.xml
2025-01-19 05:58:00+00:00,-0.4,1.5000000000000002,349.0,0.0,2025-01-19-0558-CWTA-AUTO-minute-swob.xml
2025-01-19 05:59:00+00:00,-0.4,0.8333333333333334,357.0,0.0,2025-01-19-0559-CWTA-AUTO-minute-swob.xml
2025-01-19 06:00:00+00:00,-0.4,1.5555555555555556,351.0,-1.4,2025-01-19-0600-CWTA-AUTO-minute-swob.xml
2025-01-19 06:01:00+00:00,-0.4,1.3888888888888888,352.0,-3.0,2025-01-19-0601-CWTA-AUTO-minute-swob.xml
2025-01-19 06:02:00+00:00,-0.4,0.5833333333333334,357.0,-3.2,2025-01-19-0602-CWTA-AUTO-minute-swob.xml
2025-01-19 06:03:00+00:00,-0.4,0.4444444444444445,29.0,-3.2,2025-01-19-0603-CWTA-AUTO-minute-swob.xml
2025-01-19 06:04:00+00:00,-0.5,1.3611111111111112,280.0,0.0,2025-01-19-0604-CWTA-AUTO-minute-swob.xml
2025-01-19 06:05:00+00:00,-0.5,1.0555555555555556,256.0,-3.5,2025-01-19-0605-CWTA-AUTO-minute-swob.xml
2025-01-19 06:06:00+00:00,-0.5,0.6111111111111112,226.0,0.0,2025-01-19-0606-CWTA-AUTO-minute-swob.xml
2025-01-19 06:07:00+00:00,-0.6,0.7500000000000001,259.0,-3.8,2025-01-19-0607-CWTA-AUTO-minute-swob.xml
2025-01-19 06:08:00+00:00,-0.6,1.2777777777777777,247.0,0.0,2025-01-19-0608-CWTA-AUTO-minute-swob.xml
2025-01-19 06:09:00+00:00,-0.7,1.3611111111111112,283.0,-4.4,2025-01-19-0609-CWTA-AUTO-minute-swob.xml
2025-01-19 06:10:00+00:00,-0.6,0.9722222222222224,7.0,0.0,2025-01-19-0610-CWTA-AUTO-minute-swob.xml
2025-01-19 06:11:00+00:00,-0.6,0.3333333333333333,56.0,-4.1,2025-01-19-0611-CWTA-AUTO-minute-swob.xml
2025-01-19 06:12:00+00:00,-0.7,0.6388888888888888,350.0,0.0,2025-01-19-0612-CWTA-AUTO-minute-swob.xml
2025-01-19 06:13:00+00:00,-0.7,1.6944444444444444,15.0,-4.3,2025-01-19-0613-CWTA-AUTO-minute-swob.xml
2025-01-19 06:14:00+00:00,-0.8,1.6111111111111112,344.0,0.0,2025-01-19-0614-CWTA-AUTO-minute-swob.xml
2025-01-19 06:15:00+00:00,-0.8,1.9166666666666667,330.0,-4.5,2025-01-19-0615-CWTA-AUTO-minute-swob.xml
2025-01-19 06:16:00+00:00,-0.8,0.6944444444444444,320.0,0.0,2025-01-19-0616-CWTA-AUTO-minute-swob.xml
2025-01-19 06:17:00+00:00,-0.8,1.1388888888888888,312.0,0.0,2025-01-19-0617-CWTA-AUTO-minute-swob.xml
2025-01-19 06:18:00+00:00,-0.9,2.25,349.0,0.0,2025-01-19-0618-CWTA-AUTO-minute-swob.xml
2025-01-19 06:19:00+00:00,-0.9,2.0277777777777777,345.0,0.0,2025-01-19-0619-CWTA-AUTO-minute-swob.xml
2025-01-19 06:20:00+00:00,-1.0,1.1388888888888888,6.0,0.0,2025-01-19-0620-CWTA-AUTO-minute-swob.xml
2025-01-19 06:21:00+00:00,-1.0,2.805555555555556,355.0,0.0,2025-01-19-0621-CWTA-AUTO-minute-swob.xml
2025-01-19 06:22:00+00:00,-1.0,2.1944444444444446,349.0,0.0,2025-01-19-0622-CWTA-AUTO-minute-swob.xml
2025-01-19 06:23:00+00:00,-1.0,2.555555555555556,340.0,0.0,2025-01-19-0623-CWTA-AUTO-minute-swob.xml
2025-01-19 06:24:00+00:00,-1.1,0.9722222222222224,315.0,-4.7,2025-01-19-0624-CWTA-AUTO-minute-swob.xml
2025-01-19 06:25:00+00:00,-1.0,1.9444444444444449,343.0,0.0,2025-01-19-0625-CWTA-AUTO-minute-swob.xml
2025-01-19 06:26:00+00:00,-1.1,2.361111111111111,337.0,-4.5,2025-01-19-0626-CWTA-AUTO-minute-swob.xml
2025-01-19 06:27:00+00:00,-1.1,1.2777777777777777,290.0,0.0,2025-01-19-0627-CWTA-AUTO-minute-swob.xml
2025-01-19 06:28:00+00:00,-1.1,0.7500000000000001,327.0,0.0,2025-01-19-0628-CWTA-AUTO-minute-swob.xml
2025-01-19 06:29:00+00:00,-1.1,0.2777777777777778,346.0,0.0,2025-01-19-0629-CWTA-AUTO-minute-swob.xml
2025-01-19 06:30:00+00:00,-1.1,0.4166666666666667,38.0,0.0,2025-01-19-0630-CWTA-AUTO-minute-swob.xml
2025-01-19 06:31:00+00:00,-1.1,0.6666666666666666,28.0,0.0,2025-01-19-0631-CWTA-AUTO-minute-swob.xml
2025-01-19 06:32:00+00:00,-1.1,0.8333333333333334,11.0,-4.4,2025-01-19-0632-CWTA-AUTO-minute-swob.xml
2025-01-19 06:33:00+00:00,-1.1,0.9166666666666666,22.0,0.0,2025-01-19-0633-CWTA-AUTO-minute-swob.xml
2025-01-19 06:34:00+00:00,-1.1,1.3333333333333333,6.0,-4.3,2025-01-19-0634-CWTA-AUTO-minute-swob.xml
2025-01-19 06:35:00+00:00,-1.2,1.9444444444444449,339.0,0.0,2025-01-19-0635-CWTA-AUTO-minute-swob.xml
2025-01-19 06:36:00+00:00,-1.2,0.8611111111111112,334.0,-2.2,2025-01-19-0636-CWTA-AUTO-minute-swob.xml
2025-01-19 06:37:00+00:00,-1.2,0.0555555555555555,63.0,0.0,2025-01-19-0637-CWTA-AUTO-minute-swob.xml
2025-01-19 06:38:00+00:00,-1.2,1.6944444444444444,312.0,0.0,2025-01-19-0638-CWTA-AUTO-minute-swob.xml
2025-01-19 06:39:00+00:00,-1.3,2.083333333333333,335.0,0.0,2025-01-19-0639-CWTA-AUTO-minute-swob.xml
2025-01-19 06:40:00+00:00,-1.3,1.805555555555556,303.0,0.0,2025-01-19-0640-CWTA-AUTO-minute-swob.xml
2025-01-19 06:41:00+00:00,-1.3,0.7500000000000001,290.0,0.0,2025-01-19-0641-CWTA-AUTO-minute-swob.xml
2025-01-19 06:42:00+00:00,-1.3,1.4444444444444446,330.0,0.0,2025-01-19-0642-CWTA-AUTO-minute-swob.xml
2025-01-19 06:43:00+00:00,-1.4,2.305555555555556,355.0,0.0,2025-01-19-0643-CWTA-AUTO-minute-swob.xml
2025-01-19 06:44:00+00:00,-1.4,2.0,328.0,-4.4,2025-01-19-0644-CWTA-AUTO-minute-swob.xml
2025-01-19 06:45:00+00:00,-1.4,0.2222222222222222,321.0,0.0,2025-01-19-0645-CWTA-AUTO-minute-swob.xml
2025-01-19 06:46:00+00:00,-1.4,0.7500000000000001,340.0,0.0,2025-01-19-0646-CWTA-AUTO-minute-swob.xml
2025-01-19 06:47:00+00:00,-1.4,1.1388888888888888,310.0,-4.3,2025-01-19-0647-CWTA-AUTO-minute-swob.xml
2025-01-19 06:48:00+00:00,-1.5,1.6666666666666667,300.0,-4.4,2025-01-19-0648-CWTA-AUTO-minute-swob.xml
2025-01-19 06:49:00+00:00,-1.5,1.527777777777778,310.0,0.0,2025-01-19-0649-CWTA-AUTO-minute-swob.xml
2025-01-19 06:50:00+00:00,-1.5,1.4722222222222223,243.0,0.0,2025-01-19-0650-CWTA-AUTO-minute-swob.xml
2025-01-19 06:51:00+00:00,-1.5,0.3333333333333333,249.0,0.0,2025-01-19-0651-CWTA-AUTO-minute-swob.xml
2025-01-19 06:52:00+00:00,-1.6,1.6666666666666667,344.0,-4.6,2025-01-19-0652-CWTA-AUTO-minute-swob.xml
2025-01-19 06:53:00+00:00,-1.7,2.25,335.0,0.0,2025-01-19-0653-CWTA-AUTO-minute-swob.xml
2025-01-19 06:54:00+00:00,-1.7,1.9166666666666667,301.0,-4.9,2025-01-19-0654-CWTA-AUTO-minute-swob.xml
2025-01-19 06:55:00+00:00,-1.7,1.1944444444444444,294.0,-4.9,2025-01-19-0655-CWTA-AUTO-minute-swob.xml
2025-01-19 06:56:00+00:00,-1.8,2.2222222222222223,317.0,0.0,2025-01-19-0656-CWTA-AUTO-minute-swob.xml
2025-01-19 06:57:00+00:00,-1.8,0.8055555555555556,323.0,-2.8,2025-01-19-0657-CWTA-AUTO-minute-swob.xml
2025-01-19 06:58:00+00:00,-1.8,0.9444444444444444,344.0,0.0,2025-01-19-0658-CWTA-AUTO-minute-swob.xml
2025-01-19 06:59:00+00:00,-1.9,1.6111111111111112,308.0,0.0,2025-01-19-0659-CWTA-AUTO-minute-swob.xml
2025-01-19 07:00:00+00:00,-1.9,1.2777777777777777,340.0,-5.1,2025-01-19-0700-CWTA-AUTO-minute-swob.xml
2025-01-19 07:01:00+00:00,-1.9,0.6944444444444444,294.0,-5.2,2025-01-19-0701-CWTA-AUTO-minute-swob.xml
2025-01-19 07:02:00+00:00,-1.9,0.6388888888888888,298.0,0.0,2025-01-19-0702-CWTA-AUTO-minute-swob.xml
2025-01-19 07:03:00+00:00,-1.9,0.5555555555555556,299.0,0.0,2025-01-19-0703-CWTA-AUTO-minute-swob.xml
2025-01-19 07:04:00+00:00,-2.0,0.5277777777777778,301.0,-5.1,2025-01-19-0704-CWTA-AUTO-minute-swob.xml
2025-01-19 07:05:00+00:00,-2.0,1.2777777777777777,255.0,0.0,2025-01-19-0705-CWTA-AUTO-minute-swob.xml
2025-01-19 07:06:00+00:00,-2.1,1.6666666666666667,246.0,-5.2,2025-01-19-0706-CWTA-AUTO-minute-swob.xml
2025-01-19 07:07:00+00:00,-2.2,2.1944444444444446,238.0,-5.4,2025-01-19-0707-CWTA-AUTO-minute-swob.xml
2025-01-19 07:08:00+00:00,-2.2,2.1944444444444446,261.0,0.0,2025-01-19-0708-CWTA-AUTO-minute-swob.xml
2025-01-19 07:09:00+00:00,-2.2,2.8888888888888893,255.0,-5.5,2025-01-19-0709-CWTA-AUTO-minute-swob.xml
2025-01-19 07:10:00+00:00,-2.2,0.9722222222222224,339.0,0.0,2025-01-19-0710-CWTA-AUTO-minute-swob.xml
2025-01-19 07:11:00+00:00,-2.2,1.638888888888889,265.0,0.0,2025-01-19-0711-CWTA-AUTO-minute-swob.xml
2025-01-19 07:12:00+00:00,-2.3,1.5555555555555556,297.0,-5.4,2025-01-19-0712-CWTA-AUTO-minute-swob.xml
2025-01-19 07:13:00+00:00,-2.4,1.9444444444444449,291.0,0.0,2025-01-19-0713-CWTA-AUTO-minute-swob.xml
2025-01-19 07:14:00+00:00,-2.4,0.6666666666666666,277.0,-5.7,2025-01-19-0714-CWTA-AUTO-minute-swob.xml
2025-01-19 07:15:00+00:00,-2.4,1.027777777777778,302.0,0.0,2025-01-19-0715-CWTA-AUTO-minute-swob.xml
2025-01-19 07:16:00+00:00,-2.5,1.1944444444444444,305.0,-5.7,2025-01-19-0716-CWTA-AUTO-minute-swob.xml
2025-01-19 07:17:00+00:00,-2.5,1.4166666666666667,326.0,-3.5,2025-01-19-0717-CWTA-AUTO-minute-swob.xml
2025-01-19 07:18:00+00:00,-2.5,1.027777777777778,299.0,0.0,2025-01-19-0718-CWTA-AUTO-minute-swob.xml
2025-01-19 07:19:00+00:00,-2.5,1.4722222222222223,302.0,0.0,2025-01-19-0719-CWTA-AUTO-minute-swob.xml
2025-01-19 07:20:00+00:00,-2.5,1.8333333333333333,279.0,0.0,2025-01-19-0720-CWTA-AUTO-minute-swob.xml
2025-01-19 07:21:00+00:00,-2.6,1.3611111111111112,278.0,-3.5,2025-01-19-0721-CWTA-AUTO-minute-swob.xml
2025-01-19 07:22:00+00:00,-2.6,1.25,350.0,-5.6,2025-01-19-0722-CWTA-AUTO-minute-swob.xml
2025-01-19 07:23:00+00:00,-2.6,1.4166666666666667,346.0,0.0,2025-01-19-0723-CWTA-AUTO-minute-swob.xml
2025-01-19 07:24:00+00:00,-2.6,0.888888888888889,344.0,0.0,2025-01-19-0724-CWTA-AUTO-minute-swob.xml
2025-01-19 07:25:00+00:00,-2.6,0.2777777777777778,319.0,0.0,2025-01-19-0725-CWTA-AUTO-minute-swob.xml
2025-01-19 07:26:00+00:00,-2.6,1.1666666666666667,231.0,0.0,2025-01-19-0726-CWTA-AUTO-minute-swob.xml
2025-01-19 07:27:00+00:00,-2.7,2.083333333333333,241.0,-3.5,2025-01-19-0727-CWTA-AUTO-minute-swob.xml
2025-01-19 07:28:00+00:00,-2.8,2.361111111111111,310.0,0.0,2025-01-19-0728-CWTA-AUTO-minute-swob.xml
2025-01-19 07:29:00+00:00,-2.8,1.3888888888888888,280.0,-5.7,2025-01-19-0729-CWTA-AUTO-minute-swob.xml
2025-01-19 07:30:00+00:00,-2.9,2.1944444444444446,293.0,0.0,2025-01-19-0730-CWTA-AUTO-minute-swob.xml
2025-01-19 07:31:00+00:00,-2.9,2.333333333333333,307.0,-3.8,2025-01-19-0731-CWTA-AUTO-minute-swob.xml
2025-01-19 07:33:00+00:00,-3.0,1.5555555555555556,278.0,-6.1,2025-01-19-0733-CWTA-AUTO-minute-swob.xml
2025-01-19 07:34:00+00:00,-3.1,1.4444444444444446,231.0,0.0,2025-01-19-0734-CWTA-AUTO-minute-swob.xml
2025-01-19 07:35:00+00:00,-3.1,3.083333333333333,309.0,0.0,2025-01-19-0735-CWTA-AUTO-minute-swob.xml
2025-01-19 07:36:00+00:00,-3.2,2.1944444444444446,303.0,0.0,2025-01-19-0736-CWTA-AUTO-minute-swob.xml
2025-01-19 07:37:00+00:00,-3.2,1.5833333333333337,302.0,0.0,2025-01-19-0737-CWTA-AUTO-minute-swob.xml
2025-01-19 07:38:00+00:00,-3.3,2.111111111111111,288.0,0.0,2025-01-19-0738-CWTA-AUTO-minute-swob.xml
2025-01-19 07:39:00+00:00,-3.3,2.583333333333333,224.0,0.0,2025-01-19-0739-CWTA-AUTO-minute-swob.xml
2025-01-19 07:40:00+00:00,-3.4,2.083333333333333,259.0,0.0,2025-01-19-0740-CWTA-AUTO-minute-swob.xml
2025-01-19 07:41:00+00:00,-3.4,0.8055555555555556,252.0,0.0,2025-01-19-0741-CWTA-AUTO-minute-swob.xml
2025-01-19 07:42:00+00:00,-3.5,1.1944444444444444,275.0,-6.7,2025-01-19-0742-CWTA-AUTO-minute-swob.xml
2025-01-19 07:43:00+00:00,-3.6,1.6944444444444444,250.0,-6.9,2025-01-19-0743-CWTA-AUTO-minute-swob.xml
2025-01-19 07:44:00+00:00,-3.6,0.6944444444444444,278.0,-7.0,2025-01-19-0744-CWTA-AUTO-minute-swob.xml
2025-01-19 07:45:00+00:00,-3.7,0.6388888888888888,287.0,0.0,2025-01-19-0745-CWTA-AUTO-minute-swob.xml
2025-01-19 07:46:00+00:00,-3.7,1.2222222222222223,257.0,-4.7,2025-01-19-0746-CWTA-AUTO-minute-swob.xml
2025-01-19 07:47:00+00:00,-3.8,3.416666666666667,252.0,-7.3,2025-01-19-0747-CWTA-AUTO-minute-swob.xml
2025-01-19 07:48:00+00:00,-3.9,2.694444444444444,253.0,-7.4,2025-01-19-0748-CWTA-AUTO-minute-swob.xml
2025-01-19 07:49:00+00:00,-4.0,2.861111111111112,263.0,0.0,2025-01-19-0749-CWTA-AUTO-minute-swob.xml
2025-01-19 07:50:00+00:00,-4.0,2.4166666666666665,255.0,0.0,2025-01-19-0750-CWTA-AUTO-minute-swob.xml
2025-01-19 07:51:00+00:00,-4.1,3.888888888888889,267.0,-7.6,2025-01-19-0751-CWTA-AUTO-minute-swob.xml
2025-01-19 07:52:00+00:00,-4.1,2.8888888888888893,301.0,-7.6,2025-01-19-0752-CWTA-AUTO-minute-swob.xml
2025-01-19 07:53:00+00:00,-4.2,2.611111111111111,282.0,-7.7,2025-01-19-0753-CWTA-AUTO-minute-swob.xml
2025-01-19 07:54:00+00:00,-4.2,2.4166666666666665,285.0,0.0,2025-01-19-0754-CWTA-AUTO-minute-swob.xml
2025-01-19 07:55:00+00:00,-4.2,1.3055555555555556,291.0,-7.6,2025-01-19-0755-CWTA-AUTO-minute-swob.xml
2025-01-19 07:56:00+00:00,-4.3,2.25,274.0,0.0,2025-01-19-0756-CWTA-AUTO-minute-swob.xml
2025-01-19 07:57:00+00:00,-4.3,3.1944444444444446,282.0,0.0,2025-01-19-0757-CWTA-AUTO-minute-swob.xml
2025-01-19 07:58:00+00:00,-4.4,2.0277777777777777,262.0,0.0,2025-01-19-0758-CWTA-AUTO-minute-swob.xml
2025-01-19 07:59:00+00:00,-4.4,1.777777777777778,286.0,-5.3,2025-01-19-0759-CWTA-AUTO-minute-swob.xml
2025-01-19 08:00:00+00:00,-4.4,2.25,288.0,-7.7,2025-01-19-0800-CWTA-AUTO-minute-swob.xml
2025-01-19 08:01:00+00:00,-4.5,2.083333333333333,297.0,-7.8,2025-01-19-0801-CWTA-AUTO-minute-swob.xml
2025-01-19 08:02:00+00:00,-4.5,2.4722222222222223,297.0,-5.4,2025-01-19-0802-CWTA-AUTO-minute-swob.xml
2025-01-19 08:03:00+00:00,-4.5,2.0277777777777777,286.0,0.0,2025-01-19-0803-CWTA-AUTO-minute-swob.xml
2025-01-19 08:04:00+00:00,-4.6,2.0277777777777777,279.0,-7.9,2025-01-19-0804-CWTA-AUTO-minute-swob.xml
2025-01-19 08:05:00+00:00,-4.6,3.25,292.0,0.0,2025-01-19-0805-CWTA-AUTO-minute-swob.xml
2025-01-19 08:06:00+00:00,-4.6,3.277777777777778,290.0,0.0,2025-01-19-0806-CWTA-AUTO-minute-swob.xml
2025-01-19 08:07:00+00:00,-4.6,2.6666666666666665,310.0,-7.9,2025-01-19-0807-CWTA-AUTO-minute-swob.xml
2025-01-19 08:08:00+00:00,-4.6,2.0,312.0,0.0,2025-01-19-0808-CWTA-AUTO-minute-swob.xml
2025-01-19 08:09:00+00:00,-4.7,4.055555555555555,296.0,0.0,2025-01-19-0809-CWTA-AUTO-minute-swob.xml
2025-01-19 08:10:00+00:00,-4.6,3.7222222222222223,278.0,0.0,2025-01-19-0810-CWTA-AUTO-minute-swob.xml
2025-01-19 08:11:00+00:00,-4.7,2.4722222222222223,274.0,0.0,2025-01-19-0811-CWTA-AUTO-minute-swob.xml
2025-01-19 08:12:00+00:00,-4.7,3.111111111111111,274.0,0.0,2025-01-19-0812-CWTA-AUTO-minute-swob.xml
2025-01-19 08:13:00+00:00,-4.7,2.4444444444444446,254.0,-7.9,2025-01-19-0813-CWTA-AUTO-minute-swob.xml
2025-01-19 08:14:00+00:00,-4.7,1.9444444444444449,265.0,-7.9,2025-01-19-0814-CWTA-AUTO-minute-swob.xml
2025-01-19 08:15:00+00:00,-4.8,3.416666666666667,262.0,-7.9,2025-01-19-0815-CWTA-AUTO-minute-swob.xml
2025-01-19 08:16:00+00:00,-4.8,2.833333333333333,257.0,0.0,2025-01-19-0816-CWTA-AUTO-minute-swob.xml
2025-01-19 08:17:00+00:00,-4.8,2.361111111111111,296.0,,2025-01-19-0817-CWTA-AUTO-minute-swob.xml
2025-01-19 08:18:00+00:00,-4.9,1.4166666666666667,278.0,0.0,2025-01-19-0818-CWTA-AUTO-minute-swob.xml
2025-01-19 08:19:00+00:00,-4.9,3.5,272.0,-8.2,2025-01-19-0819-CWTA-AUTO-minute-swob.xml
2025-01-19 08:20:00+00:00,-4.9,2.4166666666666665,273.0,0.0,2025-01-19-0820-CWTA-AUTO-minute-swob.xml
2025-01-19 08:21:00+00:00,-5.0,2.916666666666667,266.0,0.0,2025-01-19-0821-CWTA-AUTO-minute-swob.xml
2025-01-19 08:22:00+00:00,-5.0,3.916666666666667,275.0,-8.3,2025-01-19-0822-CWTA-AUTO-minute-swob.xml
2025-01-19 08:23:00+00:00,-5.0,2.4444444444444446,299.0,0.0,2025-01-19-0823-CWTA-AUTO-minute-swob.xml
2025-01-19 08:24:00+00:00,-5.1,2.0277777777777777,282.0,0.0,2025-01-19-0824-CWTA-AUTO-minute-swob.xml
2025-01-19 08:25:00+00:00,-5.1,2.805555555555556,280.0,0.0,2025-01-19-0825-CWTA-AUTO-minute-swob.xml
